Title,Price,Rating,Reviews,query
"HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch Micro-edge HD Display, Windows 11 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0040nr, Snowflake White)",$172.89,4.1 out of 5 stars,N/A,laptop
"HP 15.6"" Laptop with Microsoft 365-1.1TB Storage - 8GB Memory - Intel Inside | Anti-Glare Display, 128GB SSD and 1TB Cloud Storage, 4-Cores CPU, Fast Charge and 12hrs Battery, no Mouse",$298.83,4.3 out of 5 stars,N/A,laptop
"Apple 2025 MacBook Air 13-inch Laptop with M4 chip: Built for Apple Intelligence, 13.6"" Liquid Retina Display, 16GB Unified Memory, 256GB SSD Storage, 12MP Center Stage Camera, Touch ID, Midnight",$899.00,4.8 out of 5 stars,N/A,laptop
"15.6 Inch Laptop with Office 365, 4GB RAM, 128GB Storage Expandable 1TB, 5205U Processor, 1080P FHD IPS Display, Windows 11 Laptops Computer, Wi-Fi 5, BT4.2, Numpad, Type-C, for Business and Students.",$219.99,4.9 out of 5 stars,N/A,laptop
"HP Chromebook 14 Laptop, Intel Celeron N4120, 4 GB RAM, 64 GB eMMC, 14"" HD Display, Chrome OS, Thin Design, 4K Graphics, Long Battery Life, Ash Gray Keyboard (14a-na0226nr, 2022, Mineral Silver)",$163.70,4.3 out of 5 stars,N/A,laptop
"HP Latest Stream 14"" HD Laptop, Intel Celeron Processor, 4GB Memory, 64GB eMMC Storage, Fast Charge, HDMI, Up to 11 Hours Long Battery Life, Office 365 1-Year, Win 11 S, Microfiber Bundle, White",$173.00,4.2 out of 5 stars,N/A,laptop
"2026 New 15.6'' Laptop Win 11 Pro, Intel Core i3 Processor, 8GB RAM, 256GB SSD, 1080p FHD IPS Display, Backlit Keyboard, Fingerprint, WiFi5&BT5, Mini-HDMI, USB3.2 Gen1, TF Card Slot, for Study, Work",$209.99,4.0 out of 5 stars,N/A,laptop
"HP Rose Gold Ultrabook Laptop with Microsoft Office 365, Intel 2-Core CPU, 1.1TB Storage (1TB OneDrive and 64GB SSD), 8GB RAM, Windows 11, No Mouse",$265.67,4.3 out of 5 stars,N/A,laptop
"Apple 2025 MacBook Air 13-inch Laptop with M4 chip: Built for Apple Intelligence, 13.6"" Liquid Retina Display, 16GB Unified Memory, 256GB SSD Storage, 12MP Center Stage Camera, Touch ID, Sky Blue",$879.00,4.8 out of 5 stars,N/A,laptop
"HP 2023 Chromebook Laptop, 14 Inch Display, Intel Celeron N4120 Processor, 4GB RAM, 64GB eMMC, Intel UHD Graphics 600, WiFi, Bluetooth, Chrome OS, Modern Gray",$155.00,4.2 out of 5 stars,N/A,laptop
